Text,Label,Unigrams,Bigrams,Trigrams,Agreement_Count,Disagreement_Count,Modal_Verbs,Negations
Refinement of the simulation mesh near the paddle ensures good conformance to its curved surfaces,own_claim,refinement simulation mesh near paddle ensures good conformance curved surfaces,refinement simulation simulation mesh mesh near near paddle paddle ensures ensures good good conformance conformance curved curved surfaces,refinement simulation mesh simulation mesh near mesh near paddle near paddle ensures paddle ensures good ensures good conformance good conformance curved conformance curved surfaces,0,0,,
The blue valves on either side of the bulb prevent backflow,own_claim,blue valves bulb prevent backflow,blue valves valves bulb bulb prevent prevent backflow,blue valves bulb valves bulb prevent bulb prevent backflow,0,0,,
Figure 5,data,figure 5,figure 5,,0,0,,
The motion of these valves is not scripted,own_claim,motion valves scripted,motion valves valves scripted,motion valves scripted,0,1,,not
their motion is caused by two-way interaction with the fluid,data,motion caused way interaction fluid,motion caused caused way way interaction interaction fluid,motion caused way caused way interaction way interaction fluid,0,0,,
they are modeled as rigid bodies constrained to rotate about an axis,data,modeled rigid bodies constrained rotate axis,modeled rigid rigid bodies bodies constrained constrained rotate rotate axis,modeled rigid bodies rigid bodies constrained bodies constrained rotate constrained rotate axis,0,0,,
quality of the mesh elements does not suffer at this level of refinement,own_claim,quality mesh elements suffer level refinement,quality mesh mesh elements elements suffer suffer level level refinement,quality mesh elements mesh elements suffer elements suffer level suffer level refinement,0,1,,not
the proportion of time spent meshing increases to 39.3%,own_claim,proportion time spent meshing increases 39.3,proportion time time spent spent meshing meshing increases increases 39.3,proportion time spent time spent meshing spent meshing increases meshing increases 39.3,0,0,,
The motion of the smoke at the higher resolution is more lively,own_claim,motion smoke higher resolution lively,motion smoke smoke higher higher resolution resolution lively,motion smoke higher smoke higher resolution higher resolution lively,0,0,,
exhibits more fine-scale detail,own_claim,exhibits fine scale detail,exhibits fine fine scale scale detail,exhibits fine scale fine scale detail,0,0,,
A vorticity enhancement method,own_claim,vorticity enhancement method,vorticity enhancement enhancement method,vorticity enhancement method,0,0,,
"[Fedkiw et al., 2001] and [Selle et al., 2005]",data,fedkiw et al 2001 selle et al 2005,fedkiw et et al al 2001 2001 selle selle et et al al 2005,fedkiw et al et al 2001 al 2001 selle 2001 selle et selle et al et al 2005,0,0,,
those in,data,,,,0,0,,
could be used to further enhance the fluid motion,own_claim,enhance fluid motion,enhance fluid fluid motion,enhance fluid motion,0,0,could,
we do not find such enhancement necessary,data,find enhancement necessary,find enhancement enhancement necessary,find enhancement necessary,0,1,,not
a system for performing fluid animation using unstructured tetrahedral domains that can change arbitrarily at each time step,own_claim,system performing fluid animation unstructured tetrahedral domains change arbitrarily time step,system performing performing fluid fluid animation animation unstructured unstructured tetrahedral tetrahedral domains domains change change arbitrarily arbitrarily time time step,system performing fluid performing fluid animation fluid animation unstructured animation unstructured tetrahedral unstructured tetrahedral domains tetrahedral domains change domains change arbitrarily change arbitrarily time arbitrarily time step,0,0,can,
our current implementation models completely fluid-filled domains,own_claim,current implementation models completely fluid filled domains,current implementation implementation models models completely completely fluid fluid filled filled domains,current implementation models implementation models completely models completely fluid completely fluid filled fluid filled domains,0,0,,
it would be well-suited for use with surface tracking techniques for liquid simulation,own_claim,suited use surface tracking techniques liquid simulation,suited use use surface surface tracking tracking techniques techniques liquid liquid simulation,suited use surface use surface tracking surface tracking techniques tracking techniques liquid techniques liquid simulation,0,0,would,
Fluid motion is naturally captivating,background_claim,fluid motion naturally captivating,fluid motion motion naturally naturally captivating,fluid motion naturally motion naturally captivating,0,0,,
"it has piqued the imagination and curiosity of artists, mathematicians and scientists",background_claim,piqued imagination curiosity artists mathematicians scientists,piqued imagination imagination curiosity curiosity artists artists mathematicians mathematicians scientists,piqued imagination curiosity imagination curiosity artists curiosity artists mathematicians artists mathematicians scientists,0,0,,
The fascination with fluid motion is exemplified by its long history in the computer graphics literature,background_claim,fascination fluid motion exemplified long history computer graphics literature,fascination fluid fluid motion motion exemplified exemplified long long history history computer computer graphics graphics literature,fascination fluid motion fluid motion exemplified motion exemplified long exemplified long history long history computer history computer graphics computer graphics literature,0,0,,
